Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
12.2-EL Sign (Received Documents),Chrome 109.0.0.0,,,2023-02-14 12:09:35,2023-02-14 12:15:56,6m - 21.417s,FAILED
,,,,,,,
Test Cases/12-EL Sign/10-Received Documents(Sign a Document),Chrome 109.0.0.0,,,2023-02-14 12:09:36,2023-02-14 12:13:33,3m - 56.687s,FAILED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-14 12:09:38,2023-02-14 12:09:49,10.998s,PASSED
"navigateToUrl(""https://lab.everleagues.com/"")",Chrome 109.0.0.0,,,2023-02-14 12:09:49,2023-02-14 12:10:13,23.899s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-14 12:10:13,2023-02-14 12:10:14,0.340s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 109.0.0.0,,,2023-02-14 12:10:14,2023-02-14 12:11:30,1m - 16.208s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 109.0.0.0,,,2023-02-14 12:11:30,2023-02-14 12:11:34,4.344s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 109.0.0.0,,,2023-02-14 12:11:34,2023-02-14 12:11:35,1.067s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 109.0.0.0,,,2023-02-14 12:11:35,2023-02-14 12:11:37,1.577s,PASSED
delay(4),Chrome 109.0.0.0,,,2023-02-14 12:11:37,2023-02-14 12:11:41,4.022s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 109.0.0.0,,,2023-02-14 12:11:41,2023-02-14 12:11:42,0.743s,PASSED
delay(5),Chrome 109.0.0.0,,,2023-02-14 12:11:42,2023-02-14 12:11:47,5.015s,PASSED
"scrollToElement(findTestObject(""03-Header Menu/Hamburger Button/div_ELSign""), 0)",Chrome 109.0.0.0,,,2023-02-14 12:11:47,2023-02-14 12:11:48,1.088s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_ELSign""))",Chrome 109.0.0.0,,,2023-02-14 12:11:48,2023-02-14 12:11:49,0.975s,PASSED
"verifyElementVisible(findTestObject(""03-Header Menu/Hamburger Button/div_ELSign""))",Chrome 109.0.0.0,,,2023-02-14 12:11:49,2023-02-14 12:11:52,3.636s,PASSED
"verifyElementVisible(findTestObject(""12-EL Sign/h4_ELSign""))",Chrome 109.0.0.0,,,2023-02-14 12:11:52,2023-02-14 12:11:53,0.678s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-02-14 12:11:53,2023-02-14 12:11:56,3.008s,PASSED
"click(findTestObject(""12-EL Sign/div_Received Documents""))",Chrome 109.0.0.0,,,2023-02-14 12:11:56,2023-02-14 12:11:57,1.072s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-02-14 12:11:57,2023-02-14 12:12:00,3.023s,PASSED
"click(findTestObject(""12-EL Sign/button_create""))",Chrome 109.0.0.0,,,2023-02-14 12:12:00,2023-02-14 12:12:01,1.293s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-02-14 12:12:01,2023-02-14 12:12:04,3.013s,PASSED
"verifyElementVisible(findTestObject(""12-EL Sign/div_EL Sign Consent""))",Chrome 109.0.0.0,,,2023-02-14 12:12:04,2023-02-14 12:12:05,0.739s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-02-14 12:12:05,2023-02-14 12:12:08,3.015s,PASSED
