Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
12-EL Sign,Chrome 109.0.0.0,,,2023-01-17 17:24:59,2023-01-17 17:33:22,8m - 22.773s,PASSED
,,,,,,,
Test Cases/12-EL Sign/01-Send Documents (Upload a file-required field is blank),Chrome 109.0.0.0,,,2023-01-17 17:25:01,2023-01-17 17:31:17,6m - 16.898s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-01-17 17:25:03,2023-01-17 17:25:14,11.606s,PASSED
"navigateToUrl(""https://lab.everleagues.com/"")",Chrome 109.0.0.0,,,2023-01-17 17:25:14,2023-01-17 17:29:35,4m - 20.286s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-01-17 17:29:35,2023-01-17 17:29:35,0.297s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 109.0.0.0,,,2023-01-17 17:29:35,2023-01-17 17:30:37,1m - 1.658s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 109.0.0.0,,,2023-01-17 17:30:37,2023-01-17 17:30:41,4.374s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 109.0.0.0,,,2023-01-17 17:30:41,2023-01-17 17:30:42,0.945s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 109.0.0.0,,,2023-01-17 17:30:42,2023-01-17 17:30:43,1.330s,PASSED
delay(4),Chrome 109.0.0.0,,,2023-01-17 17:30:43,2023-01-17 17:30:47,4.010s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 109.0.0.0,,,2023-01-17 17:30:47,2023-01-17 17:30:48,0.924s,PASSED
delay(5),Chrome 109.0.0.0,,,2023-01-17 17:30:48,2023-01-17 17:30:53,5.020s,PASSED
"scrollToElement(findTestObject(""03-Header Menu/Hamburger Button/div_ELSign""), 0)",Chrome 109.0.0.0,,,2023-01-17 17:30:53,2023-01-17 17:30:54,0.736s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_ELSign""))",Chrome 109.0.0.0,,,2023-01-17 17:30:54,2023-01-17 17:30:55,0.905s,PASSED
"verifyElementVisible(findTestObject(""03-Header Menu/Hamburger Button/div_ELSign""))",Chrome 109.0.0.0,,,2023-01-17 17:30:55,2023-01-17 17:30:58,2.740s,PASSED
"verifyElementVisible(findTestObject(""12-EL Sign/h4_ELSign""))",Chrome 109.0.0.0,,,2023-01-17 17:30:58,2023-01-17 17:30:58,0.821s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-01-17 17:30:58,2023-01-17 17:31:02,3.015s,PASSED
"click(findTestObject(""12-EL Sign/div_Send Documents""))",Chrome 109.0.0.0,,,2023-01-17 17:31:02,2023-01-17 17:31:02,0.912s,PASSED
"uploadpackage.Upload.uploadFile(findTestObject(""Object Repository/12-EL Sign/div_Drag and drop or Upload PDF or Word document here""), ""C:\Users\asus\Desktop\EL automation\sample.pdf"")",Chrome 109.0.0.0,,,2023-01-17 17:31:02,2023-01-17 17:31:06,3.492s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-01-17 17:31:06,2023-01-17 17:31:09,3.049s,PASSED
"click(findTestObject(""12-EL Sign/input_documentTitle""))",Chrome 109.0.0.0,,,2023-01-17 17:31:09,2023-01-17 17:31:11,2.031s,PASSED
"sendKeys(findTestObject(""Object Repository/12-EL Sign/input_documentTitle""), Keys.chord(CONTROL, ""a""))",Chrome 109.0.0.0,,,2023-01-17 17:31:11,2023-01-17 17:31:12,0.966s,PASSED
"sendKeys(findTestObject(""Object Repository/12-EL Sign/input_documentTitle""), Keys.chord(BACK_SPACE))",Chrome 109.0.0.0,,,2023-01-17 17:31:12,2023-01-17 17:31:13,0.841s,PASSED
"clickOffset(findTestObject(""12-EL Sign/h4_ELSign""), 100, 100)",Chrome 109.0.0.0,,,2023-01-17 17:31:13,2023-01-17 17:31:14,0.962s,PASSED
"verifyElementVisible(findTestObject(""12-EL Sign/mat-error_Title is required""))",Chrome 109.0.0.0,,,2023-01-17 17:31:14,2023-01-17 17:31:14,0.698s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-01-17 17:31:14,2023-01-17 17:31:17,3.020s,PASSED
,,,,,,,
Test Cases/12-EL Sign/02-Send Documents (Upload a file-fill out required field),Chrome 109.0.0.0,,,2023-01-17 17:31:18,2023-01-17 17:31:32,14.907s,PASSED
"setText(findTestObject(""12-EL Sign/input_documentTitle""), ""sample.pdf"")",Chrome 109.0.0.0,,,2023-01-17 17:31:20,2023-01-17 17:31:22,2.068s,PASSED
"click(findTestObject(""12-EL Sign/button_UPLOAD""))",Chrome 109.0.0.0,,,2023-01-17 17:31:22,2023-01-17 17:31:23,0.918s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-01-17 17:31:23,2023-01-17 17:31:26,3.021s,PASSED
"click(findTestObject(""12-EL Sign/button_homeELSIGN DOCUMENTS""))",Chrome 109.0.0.0,,,2023-01-17 17:31:26,2023-01-17 17:31:29,3.810s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-01-17 17:31:29,2023-01-17 17:31:32,3.013s,PASSED
,,,,,,,
Test Cases/12-EL Sign/03-Send Documents (Function buttons),Chrome 109.0.0.0,,,2023-01-17 17:31:32,2023-01-17 17:32:29,56.233s,PASSED
"click(findTestObject(""12-EL Sign/mat-icon_refresh""))",Chrome 109.0.0.0,,,2023-01-17 17:31:35,2023-01-17 17:31:36,0.914s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-01-17 17:31:36,2023-01-17 17:31:39,3.015s,PASSED
"click(findTestObject(""12-EL Sign/mat-icon_configureColumns""))",Chrome 109.0.0.0,,,2023-01-17 17:31:39,2023-01-17 17:31:39,0.942s,PASSED
"click(findTestObject(""12-EL Sign/mat-dialog-container_configureColumnModal""))",Chrome 109.0.0.0,,,2023-01-17 17:31:39,2023-01-17 17:31:40,0.994s,PASSED
"click(findTestObject(""12-EL Sign/span_ELSign Tracking Id""))",Chrome 109.0.0.0,,,2023-01-17 17:31:40,2023-01-17 17:31:43,2.145s,PASSED
"click(findTestObject(""12-EL Sign/span_Document Name""))",Chrome 109.0.0.0,,,2023-01-17 17:31:43,2023-01-17 17:31:44,1.137s,PASSED
"click(findTestObject(""12-EL Sign/span_Status""))",Chrome 109.0.0.0,,,2023-01-17 17:31:44,2023-01-17 17:31:45,1.125s,PASSED
"click(findTestObject(""12-EL Sign/span_Signer Status""))",Chrome 109.0.0.0,,,2023-01-17 17:31:45,2023-01-17 17:31:46,1.224s,PASSED
"click(findTestObject(""12-EL Sign/span_View""))",Chrome 109.0.0.0,,,2023-01-17 17:31:46,2023-01-17 17:31:47,1.181s,PASSED
"click(findTestObject(""12-EL Sign/span_Certificate""))",Chrome 109.0.0.0,,,2023-01-17 17:31:47,2023-01-17 17:31:48,1.222s,PASSED
"click(findTestObject(""12-EL Sign/span_Delete""))",Chrome 109.0.0.0,,,2023-01-17 17:31:48,2023-01-17 17:31:50,1.221s,PASSED
"click(findTestObject(""12-EL Sign/span_History""))",Chrome 109.0.0.0,,,2023-01-17 17:31:50,2023-01-17 17:31:51,1.340s,PASSED
"click(findTestObject(""12-EL Sign/span_Reminder""))",Chrome 109.0.0.0,,,2023-01-17 17:31:51,2023-01-17 17:31:52,1.253s,PASSED
"click(findTestObject(""12-EL Sign/span_Last Modified""))",Chrome 109.0.0.0,,,2023-01-17 17:31:52,2023-01-17 17:31:53,1.184s,PASSED
delay(3),Chrome 109.0.0.0,,,2023-01-17 17:31:53,2023-01-17 17:31:57,3.016s,PASSED
"click(findTestObject(""12-EL Sign/span_ELSign Tracking Id""))",Chrome 109.0.0.0,,,2023-01-17 17:31:57,2023-01-17 17:31:57,0.916s,PASSED
"click(findTestObject(""12-EL Sign/span_Document Name""))",Chrome 109.0.0.0,,,2023-01-17 17:31:57,2023-01-17 17:31:58,1.042s,PASSED
"click(findTestObject(""12-EL Sign/span_Status""))",Chrome 109.0.0.0,,,2023-01-17 17:31:58,2023-01-17 17:32:00,1.146s,PASSED
"click(findTestObject(""12-EL Sign/span_Signer Status""))",Chrome 109.0.0.0,,,2023-01-17 17:32:00,2023-01-17 17:32:01,1.141s,PASSED
"click(findTestObject(""12-EL Sign/span_View""))",Chrome 109.0.0.0,,,2023-01-17 17:32:01,2023-01-17 17:32:02,1.201s,PASSED
"click(findTestObject(""12-EL Sign/span_Download""))",Chrome 109.0.0.0,,,2023-01-17 17:32:02,2023-01-17 17:32:03,1.465s,PASSED
"click(findTestObject(""12-EL Sign/span_Certificate""))",Chrome 109.0.0.0,,,2023-01-17 17:32:03,2023-01-17 17:32:05,1.167s,PASSED
