Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
11.2 - Cloud Files(Shared Drive),Chrome 113.0.0.0,,,2023-05-12 18:30:33,2023-05-12 18:33:39,3m - 5.813s,FAILED
,,,,,,,
Test Cases/11.2 - Cloud Files (Shared Drive)/01-Create new driver(required field is blank),Chrome 113.0.0.0,,,2023-05-12 18:30:33,2023-05-12 18:32:58,2m - 24.657s,FAILED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-12 18:30:34,2023-05-12 18:30:44,9.525s,PASSED
navigateToUrl(appURL),Chrome 113.0.0.0,,,2023-05-12 18:30:44,2023-05-12 18:30:57,13.829s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-12 18:30:58,2023-05-12 18:30:58,0.853s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-12 18:30:58,2023-05-12 18:32:00,1m - 2.140s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 113.0.0.0,,,2023-05-12 18:32:00,2023-05-12 18:32:03,2.753s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 113.0.0.0,,,2023-05-12 18:32:03,2023-05-12 18:32:04,1.006s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 113.0.0.0,,,2023-05-12 18:32:04,2023-05-12 18:32:05,0.771s,PASSED
delay(delay_4seconds),Chrome 113.0.0.0,,,2023-05-12 18:32:05,2023-05-12 18:32:09,4.009s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 113.0.0.0,,,2023-05-12 18:32:09,2023-05-12 18:32:09,0.441s,PASSED
delay(delay_5seconds),Chrome 113.0.0.0,,,2023-05-12 18:32:09,2023-05-12 18:32:15,5.021s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Cloud Files""))",Chrome 113.0.0.0,,,2023-05-12 18:32:15,2023-05-12 18:32:15,0.590s,PASSED
"scrollToElement(findTestObject(""11-Cloud Files/a_Shared Drive""), 0)",Chrome 113.0.0.0,,,2023-05-12 18:32:15,2023-05-12 18:32:16,0.871s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/a_My Drive""))",Chrome 113.0.0.0,,,2023-05-12 18:32:16,2023-05-12 18:32:16,0.419s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/a_Shared Drive""))",Chrome 113.0.0.0,,,2023-05-12 18:32:16,2023-05-12 18:32:17,0.397s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/a_Shared With Me""))",Chrome 113.0.0.0,,,2023-05-12 18:32:17,2023-05-12 18:32:17,0.389s,PASSED
"click(findTestObject(""11-Cloud Files/a_Shared Drive""))",Chrome 113.0.0.0,,,2023-05-12 18:32:17,2023-05-12 18:32:18,0.616s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/h4_CLOUD STORAGE""))",Chrome 113.0.0.0,,,2023-05-12 18:32:18,2023-05-12 18:32:20,2.094s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/h4_Shared_Drive""))",Chrome 113.0.0.0,,,2023-05-12 18:32:20,2023-05-12 18:32:20,0.408s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-12 18:32:20,2023-05-12 18:32:23,3.014s,PASSED
"click(findTestObject(""11-Cloud Files/button_new_drive""))",Chrome 113.0.0.0,,,2023-05-12 18:32:23,2023-05-12 18:32:24,0.498s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/h4_new_shared_drive""))",Chrome 113.0.0.0,,,2023-05-12 18:32:24,2023-05-12 18:32:25,0.968s,PASSED
"click(findTestObject(""11-Cloud Files/input_driver_name""))",Chrome 113.0.0.0,,,2023-05-12 18:32:25,2023-05-12 18:32:25,0.468s,PASSED
"clickOffset(findTestObject(""11-Cloud Files/input_driver_name""), 50, 50)",Chrome 113.0.0.0,,,2023-05-12 18:32:25,2023-05-12 18:32:26,0.894s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/error_driver_name""))",Chrome 113.0.0.0,,,2023-05-12 18:32:26,2023-05-12 18:32:58,31.941s,FAILED
,,,,,,,
Test Cases/11.2 - Cloud Files (Shared Drive)/02-Create new driver,Chrome 113.0.0.0,,,2023-05-12 18:32:58,2023-05-12 18:33:07,9.061s,PASSED
"setText(findTestObject(""11-Cloud Files/input_driver_name""), input_driver_name)",Chrome 113.0.0.0,,,2023-05-12 18:32:59,2023-05-12 18:33:00,1.124s,PASSED
"click(findTestObject(""11-Cloud Files/button_create_driver_name""))",Chrome 113.0.0.0,,,2023-05-12 18:33:00,2023-05-12 18:33:01,0.478s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-12 18:33:01,2023-05-12 18:33:04,3.017s,PASSED
"click(findTestObject(""11-Cloud Files/button_driver_created""))",Chrome 113.0.0.0,,,2023-05-12 18:33:04,2023-05-12 18:33:04,0.475s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-12 18:33:04,2023-05-12 18:33:07,3.019s,PASSED
,,,,,,,
Test Cases/11.2 - Cloud Files (Shared Drive)/03-Upload Local File,Chrome 113.0.0.0,,,2023-05-12 18:33:07,2023-05-12 18:33:11,4.045s,FAILED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-12 18:33:08,2023-05-12 18:33:11,3.010s,PASSED
"click(findTestObject(""11-Cloud Files/button_cloud_upload Upload Files  Create Folders""))",Chrome 113.0.0.0,,,2023-05-12 18:33:11,2023-05-12 18:33:11,0.136s,FAILED
,,,,,,,
Test Cases/11.2 - Cloud Files (Shared Drive)/04-Rename a folder and file,Chrome 113.0.0.0,,,2023-05-12 18:33:11,2023-05-12 18:33:15,3.529s,FAILED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-12 18:33:12,2023-05-12 18:33:15,3.018s,PASSED
"rightClick(findTestObject(""11-Cloud Files/td_Automation_Driver""))",Chrome 113.0.0.0,,,2023-05-12 18:33:15,2023-05-12 18:33:15,0.124s,FAILED
,,,,,,,
Test Cases/11.2 - Cloud Files (Shared Drive)/05-Download a file and folder,Chrome 113.0.0.0,,,2023-05-12 18:33:15,2023-05-12 18:33:18,3.641s,FAILED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-12 18:33:15,2023-05-12 18:33:18,3.012s,PASSED
"rightClick(findTestObject(""11-Cloud Files/td_qa EDIT""))",Chrome 113.0.0.0,,,2023-05-12 18:33:18,2023-05-12 18:33:18,0.088s,FAILED
,,,,,,,
