Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
09.2 - Settings (Active user),Chrome 114.0.0.0,,,2023-07-04 09:50:11,2023-07-04 09:55:21,5m - 9.771s,PASSED
,,,,,,,
Test Cases/09-Settings/06 - Users (Active User - Search user),Chrome 114.0.0.0,,,2023-07-04 09:50:12,2023-07-04 09:51:59,1m - 47.002s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-04 09:50:13,2023-07-04 09:50:19,6.462s,PASSED
navigateToUrl(appURL),Chrome 114.0.0.0,,,2023-07-04 09:50:19,2023-07-04 09:50:35,15.787s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-04 09:50:35,2023-07-04 09:50:35,0.177s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-07-04 09:50:35,2023-07-04 09:51:22,46.589s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 114.0.0.0,,,2023-07-04 09:51:22,2023-07-04 09:51:24,2.557s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 114.0.0.0,,,2023-07-04 09:51:24,2023-07-04 09:51:25,0.529s,PASSED
"click(findTestObject(""06-Teams/button_GG Automation""))",Chrome 114.0.0.0,,,2023-07-04 09:51:25,2023-07-04 09:51:26,0.974s,PASSED
delay(delay_4seconds),Chrome 114.0.0.0,,,2023-07-04 09:51:26,2023-07-04 09:51:30,4.008s,PASSED
"verifyElementVisible(findTestObject(""06-Teams/span_GG Automation""))",Chrome 114.0.0.0,,,2023-07-04 09:51:30,2023-07-04 09:51:30,0.420s,PASSED
delay(delay_5seconds),Chrome 114.0.0.0,,,2023-07-04 09:51:30,2023-07-04 09:51:35,5.008s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Settings""))",Chrome 114.0.0.0,,,2023-07-04 09:51:35,2023-07-04 09:51:36,0.517s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/div_Organization""))",Chrome 114.0.0.0,,,2023-07-04 09:51:36,2023-07-04 09:51:36,0.400s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/div_Organization Units""))",Chrome 114.0.0.0,,,2023-07-04 09:51:36,2023-07-04 09:51:36,0.484s,PASSED
"scrollToElement(findTestObject(""09-Settings/Users/div_Subscriptions""), 0)",Chrome 114.0.0.0,,,2023-07-04 09:51:36,2023-07-04 09:51:37,0.388s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/div_Subscriptions""))",Chrome 114.0.0.0,,,2023-07-04 09:51:37,2023-07-04 09:51:37,0.383s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/div_Users""))",Chrome 114.0.0.0,,,2023-07-04 09:51:37,2023-07-04 09:51:38,0.376s,PASSED
delay(delay_3seconds),Chrome 114.0.0.0,,,2023-07-04 09:51:38,2023-07-04 09:51:41,3.012s,PASSED
"click(findTestObject(""09-Settings/Users/div_Users""))",Chrome 114.0.0.0,,,2023-07-04 09:51:41,2023-07-04 09:51:41,0.841s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/h4_USERS""))",Chrome 114.0.0.0,,,2023-07-04 09:51:41,2023-07-04 09:51:43,1.077s,PASSED
"verifyElementVisible(findTestObject(""09-Settings/Users/Active User/div_Active Users""))",Chrome 114.0.0.0,,,2023-07-04 09:51:43,2023-07-04 09:51:43,0.432s,PASSED
"click(findTestObject(""09-Settings/Users/Active User/div_Active Users""))",Chrome 114.0.0.0,,,2023-07-04 09:51:43,2023-07-04 09:51:43,0.521s,PASSED
