Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
13-Income and Expense,Chrome 113.0.0.0,,,2023-05-10 13:18:22,2023-05-10 13:23:58,5m - 36.097s,PASSED
,,,,,,,
Test Cases/13-Income and Expense/01-Add Company (required field is blank),Chrome 113.0.0.0,,,2023-05-10 13:18:23,2023-05-10 13:20:36,2m - 13.146s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-10 13:18:24,2023-05-10 13:18:36,11.729s,PASSED
"navigateToUrl(""https://lab.everleagues.com/"")",Chrome 113.0.0.0,,,2023-05-10 13:18:36,2023-05-10 13:18:48,12.083s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-10 13:18:48,2023-05-10 13:18:49,0.911s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-10 13:18:49,2023-05-10 13:19:53,1m - 4.037s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 113.0.0.0,,,2023-05-10 13:19:53,2023-05-10 13:19:57,4.697s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 113.0.0.0,,,2023-05-10 13:19:57,2023-05-10 13:19:58,1.091s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 113.0.0.0,,,2023-05-10 13:19:58,2023-05-10 13:20:00,1.706s,PASSED
delay(4),Chrome 113.0.0.0,,,2023-05-10 13:20:00,2023-05-10 13:20:05,4.452s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 113.0.0.0,,,2023-05-10 13:20:05,2023-05-10 13:20:06,1.284s,PASSED
delay(5),Chrome 113.0.0.0,,,2023-05-10 13:20:06,2023-05-10 13:20:11,5.010s,PASSED
"scrollToElement(findTestObject(""03-Header Menu/Hamburger Button/div_Income and Expense""), 0)",Chrome 113.0.0.0,,,2023-05-10 13:20:11,2023-05-10 13:20:12,0.629s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Income and Expense""))",Chrome 113.0.0.0,,,2023-05-10 13:20:12,2023-05-10 13:20:12,0.732s,PASSED
"verifyElementVisible(findTestObject(""13-Income and Expense/div_IncomeAndExpense Tracker""))",Chrome 113.0.0.0,,,2023-05-10 13:20:12,2023-05-10 13:20:15,2.258s,PASSED
"verifyElementVisible(findTestObject(""13-Income and Expense/th_Income  Expense Tracker""))",Chrome 113.0.0.0,,,2023-05-10 13:20:15,2023-05-10 13:20:15,0.438s,PASSED
delay(3),Chrome 113.0.0.0,,,2023-05-10 13:20:15,2023-05-10 13:20:18,3.006s,PASSED
"click(findTestObject(""13-Income and Expense/button_ADD COMPANY""))",Chrome 113.0.0.0,,,2023-05-10 13:20:18,2023-05-10 13:20:19,1.248s,PASSED
"click(findTestObject(""13-Income and Expense/mat-icon_clear""))",Chrome 113.0.0.0,,,2023-05-10 13:20:19,2023-05-10 13:20:21,1.865s,PASSED
delay(3),Chrome 113.0.0.0,,,2023-05-10 13:20:21,2023-05-10 13:20:24,3.033s,PASSED
"click(findTestObject(""13-Income and Expense/button_ADD COMPANY""))",Chrome 113.0.0.0,,,2023-05-10 13:20:24,2023-05-10 13:20:25,0.562s,PASSED
"verifyElementVisible(findTestObject(""13-Income and Expense/mat-dialog-container_Add CompanyModal""))",Chrome 113.0.0.0,,,2023-05-10 13:20:25,2023-05-10 13:20:27,2.013s,PASSED
"click(findTestObject(""13-Income and Expense/input_CompanyName""))",Chrome 113.0.0.0,,,2023-05-10 13:20:27,2023-05-10 13:20:27,0.470s,PASSED
"click(findTestObject(""13-Income and Expense/dropdown_CompanyType""))",Chrome 113.0.0.0,,,2023-05-10 13:20:27,2023-05-10 13:20:28,0.435s,PASSED
"doubleClick(findTestObject(""13-Income and Expense/input_CompanyName""))",Chrome 113.0.0.0,,,2023-05-10 13:20:28,2023-05-10 13:20:28,0.815s,PASSED
"click(findTestObject(""13-Income and Expense/dropdown_ChoosingDate""))",Chrome 113.0.0.0,,,2023-05-10 13:20:28,2023-05-10 13:20:29,0.980s,PASSED
"doubleClick(findTestObject(""13-Income and Expense/mat-icon_account""))",Chrome 113.0.0.0,,,2023-05-10 13:20:29,2023-05-10 13:20:30,0.765s,PASSED
"click(findTestObject(""13-Income and Expense/input_CompanyName""))",Chrome 113.0.0.0,,,2023-05-10 13:20:30,2023-05-10 13:20:31,0.998s,PASSED
"verifyElementVisible(findTestObject(""13-Income and Expense/mat-error_Company name is required""))",Chrome 113.0.0.0,,,2023-05-10 13:20:31,2023-05-10 13:20:32,0.582s,PASSED
"verifyElementVisible(findTestObject(""13-Income and Expense/mat-error_Company type is required""))",Chrome 113.0.0.0,,,2023-05-10 13:20:32,2023-05-10 13:20:32,0.467s,PASSED
"verifyElementNotClickable(findTestObject(""13-Income and Expense/button_BEGIN""))",Chrome 113.0.0.0,,,2023-05-10 13:20:32,2023-05-10 13:20:33,0.781s,PASSED
delay(3),Chrome 113.0.0.0,,,2023-05-10 13:20:33,2023-05-10 13:20:36,3.027s,PASSED
,,,,,,,
Test Cases/13-Income and Expense/02-Add Company (fill out required field),Chrome 113.0.0.0,,,2023-05-10 13:20:36,2023-05-10 13:20:48,12.162s,PASSED
"setText(findTestObject(""13-Income and Expense/input_CompanyName""), ""Automation Company"")",Chrome 113.0.0.0,,,2023-05-10 13:20:37,2023-05-10 13:20:38,1.355s,PASSED
"click(findTestObject(""13-Income and Expense/dropdown_CompanyType""))",Chrome 113.0.0.0,,,2023-05-10 13:20:38,2023-05-10 13:20:39,0.861s,PASSED
"click(findTestObject(""13-Income and Expense/mat-option_Consulting""))",Chrome 113.0.0.0,,,2023-05-10 13:20:39,2023-05-10 13:20:40,1.113s,PASSED
"click(findTestObject(""13-Income and Expense/dropdown_ChoosingDate""))",Chrome 113.0.0.0,,,2023-05-10 13:20:40,2023-05-10 13:20:41,1.004s,PASSED
"click(findTestObject(""13-Income and Expense/mat-option_End of September""))",Chrome 113.0.0.0,,,2023-05-10 13:20:41,2023-05-10 13:20:42,0.617s,PASSED
"click(findTestObject(""13-Income and Expense/mat-icon_account""))",Chrome 113.0.0.0,,,2023-05-10 13:20:42,2023-05-10 13:20:43,0.672s,PASSED
"click(findTestObject(""13-Income and Expense/mat-option_GG TESTER""))",Chrome 113.0.0.0,,,2023-05-10 13:20:43,2023-05-10 13:20:44,0.867s,PASSED
delay(1),Chrome 113.0.0.0,,,2023-05-10 13:20:44,2023-05-10 13:20:45,1.027s,PASSED
"click(findTestObject(""13-Income and Expense/button_BEGIN""))",Chrome 113.0.0.0,,,2023-05-10 13:20:45,2023-05-10 13:20:45,0.717s,PASSED
delay(3),Chrome 113.0.0.0,,,2023-05-10 13:20:45,2023-05-10 13:20:48,3.010s,PASSED
,,,,,,,
Test Cases/13-Income and Expense/03-Add receipt (required field is blank),Chrome 113.0.0.0,,,2023-05-10 13:20:48,2023-05-10 13:21:07,18.506s,PASSED
"click(findTestObject(""13-Income and Expense/button_addReceipt""))",Chrome 113.0.0.0,,,2023-05-10 13:20:49,2023-05-10 13:20:50,0.648s,PASSED
"click(findTestObject(""13-Income and Expense/mat-icon_clear""))",Chrome 113.0.0.0,,,2023-05-10 13:20:50,2023-05-10 13:20:51,1.601s,PASSED
delay(3),Chrome 113.0.0.0,,,2023-05-10 13:20:51,2023-05-10 13:20:54,3.020s,PASSED
"click(findTestObject(""13-Income and Expense/button_addReceipt""))",Chrome 113.0.0.0,,,2023-05-10 13:20:54,2023-05-10 13:20:55,0.464s,PASSED
"verifyElementVisible(findTestObject(""13-Income and Expense/mat-dialog-container_Add ReceiptModal""))",Chrome 113.0.0.0,,,2023-05-10 13:20:55,2023-05-10 13:20:56,1.874s,PASSED
"click(findTestObject(""13-Income and Expense/input_VendorName""))",Chrome 113.0.0.0,,,2023-05-10 13:20:56,2023-05-10 13:20:57,0.431s,PASSED
"sendKeys(findTestObject(""13-Income and Expense/input_VendorName""), Keys.chord(ESCAPE))",Chrome 113.0.0.0,,,2023-05-10 13:20:57,2023-05-10 13:20:57,0.432s,PASSED
"click(findTestObject(""13-Income and Expense/input_AccountType""))",Chrome 113.0.0.0,,,2023-05-10 13:20:57,2023-05-10 13:20:58,0.580s,PASSED
"doubleClick(findTestObject(""13-Income and Expense/input_VendorName""))",Chrome 113.0.0.0,,,2023-05-10 13:20:58,2023-05-10 13:20:59,1.417s,PASSED
"click(findTestObject(""13-Income and Expense/input_Amount""))",Chrome 113.0.0.0,,,2023-05-10 13:20:59,2023-05-10 13:21:00,0.542s,PASSED
"click(findTestObject(""13-Income and Expense/input_VendorName""))",Chrome 113.0.0.0,,,2023-05-10 13:21:00,2023-05-10 13:21:01,0.620s,PASSED
"sendKeys(findTestObject(""13-Income and Expense/input_VendorName""), Keys.chord(ESCAPE))",Chrome 113.0.0.0,,,2023-05-10 13:21:01,2023-05-10 13:21:01,0.599s,PASSED
"verifyElementVisible(findTestObject(""13-Income and Expense/mat-error_Vendor name is required""))",Chrome 113.0.0.0,,,2023-05-10 13:21:01,2023-05-10 13:21:02,0.530s,PASSED
