Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
11.1 - Cloud Files(My Drive),Chrome 113.0.0.0,,,2023-05-12 16:26:37,2023-05-12 16:33:09,6m - 31.991s,PASSED
,,,,,,,
Test Cases/11.1 - Cloud Files (My Drive)/01-Create new folder(required field is blank),Chrome 113.0.0.0,,,2023-05-12 16:26:38,2023-05-12 16:28:28,1m - 50.333s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-12 16:26:39,2023-05-12 16:26:45,6.478s,PASSED
navigateToUrl(appURL),Chrome 113.0.0.0,,,2023-05-12 16:26:45,2023-05-12 16:26:58,12.848s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-12 16:26:58,2023-05-12 16:26:59,0.697s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-12 16:26:59,2023-05-12 16:27:57,58.419s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 113.0.0.0,,,2023-05-12 16:27:57,2023-05-12 16:28:00,3.220s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 113.0.0.0,,,2023-05-12 16:28:00,2023-05-12 16:28:02,1.145s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 113.0.0.0,,,2023-05-12 16:28:02,2023-05-12 16:28:03,1.180s,PASSED
delay(delay_4seconds),Chrome 113.0.0.0,,,2023-05-12 16:28:03,2023-05-12 16:28:07,4.015s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 113.0.0.0,,,2023-05-12 16:28:07,2023-05-12 16:28:07,0.526s,PASSED
delay(delay_5seconds),Chrome 113.0.0.0,,,2023-05-12 16:28:07,2023-05-12 16:28:12,5.016s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Cloud Files""))",Chrome 113.0.0.0,,,2023-05-12 16:28:12,2023-05-12 16:28:13,0.585s,PASSED
"scrollToElement(findTestObject(""11-Cloud Files/a_My Drive""), 0)",Chrome 113.0.0.0,,,2023-05-12 16:28:13,2023-05-12 16:28:14,0.899s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/a_My Drive""))",Chrome 113.0.0.0,,,2023-05-12 16:28:14,2023-05-12 16:28:14,0.436s,PASSED
"verifyElementVisible(findTestObject(""11-Cloud Files/a_Shared Drive""))",Chrome 113.0.0.0,,,2023-05-12 16:28:14,2023-05-12 16:28:15,0.426s,PASSED
