Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
06.1- Teams - Add,Chrome 111.0.0.0,,,2023-04-05 12:37:48,2023-04-05 12:43:20,5m - 32.433s,PASSED
,,,,,,,
Test Cases/06- Teams/01- Add Team- Public,Chrome 111.0.0.0,,,2023-04-05 12:37:50,2023-04-05 12:42:18,4m - 28.283s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-04-05 12:37:54,2023-04-05 12:38:05,10.896s,PASSED
"navigateToUrl(""https://lab.everleagues.com/"")",Chrome 111.0.0.0,,,2023-04-05 12:38:05,2023-04-05 12:39:57,1m - 52.084s,PASSED
maximizeWindow(),Chrome 111.0.0.0,,,2023-04-05 12:39:57,2023-04-05 12:39:57,0.441s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-04-05 12:39:57,2023-04-05 12:41:05,1m - 8.201s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 111.0.0.0,,,2023-04-05 12:41:05,2023-04-05 12:41:09,3.506s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 111.0.0.0,,,2023-04-05 12:41:09,2023-04-05 12:41:10,1.409s,PASSED
"click(findTestObject(""06-Teams/button_GG Automation""))",Chrome 111.0.0.0,,,2023-04-05 12:41:10,2023-04-05 12:41:13,2.788s,PASSED
delay(4),Chrome 111.0.0.0,,,2023-04-05 12:41:13,2023-04-05 12:41:17,4.020s,PASSED
"verifyElementVisible(findTestObject(""06-Teams/span_GG Automation""))",Chrome 111.0.0.0,,,2023-04-05 12:41:17,2023-04-05 12:41:18,0.963s,PASSED
delay(2),Chrome 111.0.0.0,,,2023-04-05 12:41:18,2023-04-05 12:41:20,2.013s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Teams""))",Chrome 111.0.0.0,,,2023-04-05 12:41:20,2023-04-05 12:41:21,1.118s,PASSED
delay(2),Chrome 111.0.0.0,,,2023-04-05 12:41:21,2023-04-05 12:41:23,2.014s,PASSED
"verifyElementVisible(findTestObject(""06-Teams/h4_TEAMS""))",Chrome 111.0.0.0,,,2023-04-05 12:41:23,2023-04-05 12:41:24,1.032s,PASSED
delay(3),Chrome 111.0.0.0,,,2023-04-05 12:41:24,2023-04-05 12:41:27,3.017s,PASSED
