Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
12.1-EL Sign (Send Documents),Chrome 113.0.0.0,,,2023-05-19 14:44:02,2023-05-19 14:49:03,5m - 0.849s,PASSED
,,,,,,,
Test Cases/12-EL Sign/01-Send Documents (Upload a file-required field is blank),Chrome 113.0.0.0,,,2023-05-19 14:44:03,2023-05-19 14:46:01,1m - 57.550s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-19 14:44:04,2023-05-19 14:44:10,6.170s,PASSED
navigateToUrl(appURL),Chrome 113.0.0.0,,,2023-05-19 14:44:10,2023-05-19 14:44:23,13.052s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-19 14:44:23,2023-05-19 14:44:23,0.491s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-19 14:44:23,2023-05-19 14:45:21,57.800s,PASSED
"click(findTestObject(""06-Teams/button_doublearrow""))",Chrome 113.0.0.0,,,2023-05-19 14:45:21,2023-05-19 14:45:22,1.335s,PASSED
"click(findTestObject(""06-Teams/button_My Organizations""))",Chrome 113.0.0.0,,,2023-05-19 14:45:22,2023-05-19 14:45:25,2.086s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 113.0.0.0,,,2023-05-19 14:45:25,2023-05-19 14:45:26,1.238s,PASSED
delay(delay_4seconds),Chrome 113.0.0.0,,,2023-05-19 14:45:26,2023-05-19 14:45:30,4.010s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 113.0.0.0,,,2023-05-19 14:45:30,2023-05-19 14:45:30,0.493s,PASSED
delay(delay_5seconds),Chrome 113.0.0.0,,,2023-05-19 14:45:30,2023-05-19 14:45:35,5.007s,PASSED
"scrollToElement(findTestObject(""03-Header Menu/Hamburger Button/div_ELSign""), 0)",Chrome 113.0.0.0,,,2023-05-19 14:45:35,2023-05-19 14:45:36,0.450s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_ELSign""))",Chrome 113.0.0.0,,,2023-05-19 14:45:36,2023-05-19 14:45:36,0.587s,PASSED
"verifyElementVisible(findTestObject(""03-Header Menu/Hamburger Button/div_ELSign""))",Chrome 113.0.0.0,,,2023-05-19 14:45:36,2023-05-19 14:45:40,3.330s,PASSED
"verifyElementVisible(findTestObject(""12-EL Sign/h4_ELSign""))",Chrome 113.0.0.0,,,2023-05-19 14:45:40,2023-05-19 14:45:40,0.470s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-19 14:45:40,2023-05-19 14:45:43,3.004s,PASSED
"click(findTestObject(""12-EL Sign/div_Send Documents""))",Chrome 113.0.0.0,,,2023-05-19 14:45:43,2023-05-19 14:45:44,1.017s,PASSED
"uploadpackage.Upload.uploadFile(findTestObject(""Object Repository/12-EL Sign/div_Drag and drop or Upload PDF or Word document here""), upload_pdf_file)",Chrome 113.0.0.0,,,2023-05-19 14:45:44,2023-05-19 14:45:52,7.737s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-19 14:45:52,2023-05-19 14:45:55,3.034s,PASSED
"click(findTestObject(""12-EL Sign/input_documentTitle""))",Chrome 113.0.0.0,,,2023-05-19 14:45:55,2023-05-19 14:45:55,0.519s,PASSED
"sendKeys(findTestObject(""Object Repository/12-EL Sign/input_documentTitle""), Keys.chord(CONTROL, ""a""))",Chrome 113.0.0.0,,,2023-05-19 14:45:55,2023-05-19 14:45:56,0.555s,PASSED
