Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
02-Side Icons,Chrome 113.0.0.0,,,2023-05-05 10:09:34,2023-05-05 10:13:42,4m - 8.098s,PASSED
,,,,,,,
Test Cases/02-Side Icons (Organization)/01- (Add Contact),Chrome 113.0.0.0,Navigates on Add Contact Page and verifies the elements.,,2023-05-05 10:09:35,2023-05-05 10:11:32,1m - 56.922s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-05 10:09:35,2023-05-05 10:09:41,5.544s,PASSED
navigateToUrl(app_url_login),Chrome 113.0.0.0,,,2023-05-05 10:09:41,2023-05-05 10:10:00,19.164s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-05 10:10:00,2023-05-05 10:10:00,0.189s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-05 10:10:00,2023-05-05 10:10:50,49.474s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/Side Menu double arrow icon""))",Chrome 113.0.0.0,,,2023-05-05 10:10:50,2023-05-05 10:10:54,4.591s,PASSED
delay(delay_2seconds),Chrome 113.0.0.0,,,2023-05-05 10:10:54,2023-05-05 10:10:56,2.005s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_My Organizations""))",Chrome 113.0.0.0,,,2023-05-05 10:10:56,2023-05-05 10:10:57,0.462s,PASSED
delay(delay_2seconds),Chrome 113.0.0.0,,,2023-05-05 10:10:57,2023-05-05 10:10:59,2.008s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Automation Test Org""))",Chrome 113.0.0.0,,,2023-05-05 10:10:59,2023-05-05 10:11:00,0.710s,PASSED
delay(delay_2seconds),Chrome 113.0.0.0,,,2023-05-05 10:11:00,2023-05-05 10:11:02,2.021s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/span_Automation Test Org""))",Chrome 113.0.0.0,,,2023-05-05 10:11:02,2023-05-05 10:11:03,1.369s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-05 10:11:03,2023-05-05 10:11:06,3.017s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_add new user""))",Chrome 113.0.0.0,,,2023-05-05 10:11:06,2023-05-05 10:11:07,1.397s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-05 10:11:07,2023-05-05 10:11:10,3.009s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/User Invitation modal""))",Chrome 113.0.0.0,,,2023-05-05 10:11:10,2023-05-05 10:11:11,0.409s,PASSED
delay(delay_2seconds),Chrome 113.0.0.0,,,2023-05-05 10:11:11,2023-05-05 10:11:13,2.014s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/Invite a single user option""))",Chrome 113.0.0.0,,,2023-05-05 10:11:13,2023-05-05 10:11:13,0.496s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/Invite New user modal""))",Chrome 113.0.0.0,,,2023-05-05 10:11:13,2023-05-05 10:11:14,0.739s,PASSED
delay(delay_2seconds),Chrome 113.0.0.0,,,2023-05-05 10:11:14,2023-05-05 10:11:16,2.011s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Cancel""))",Chrome 113.0.0.0,,,2023-05-05 10:11:16,2023-05-05 10:11:18,1.558s,PASSED
delay(delay_2seconds),Chrome 113.0.0.0,,,2023-05-05 10:11:18,2023-05-05 10:11:20,2.006s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_add new user""))",Chrome 113.0.0.0,,,2023-05-05 10:11:20,2023-05-05 10:11:20,0.451s,PASSED
delay(delay_3seconds),Chrome 113.0.0.0,,,2023-05-05 10:11:20,2023-05-05 10:11:23,3.014s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/User Invitation modal""))",Chrome 113.0.0.0,,,2023-05-05 10:11:23,2023-05-05 10:11:23,0.364s,PASSED
delay(delay_2seconds),Chrome 113.0.0.0,,,2023-05-05 10:11:23,2023-05-05 10:11:25,2.012s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/Invite batch user option""))",Chrome 113.0.0.0,,,2023-05-05 10:11:25,2023-05-05 10:11:26,0.976s,PASSED
"verifyElementVisible(findTestObject(""02-Side Icons(Organization)/Add Contact/Import CSV file modal""))",Chrome 113.0.0.0,,,2023-05-05 10:11:26,2023-05-05 10:11:27,0.671s,PASSED
delay(delay_2seconds),Chrome 113.0.0.0,,,2023-05-05 10:11:27,2023-05-05 10:11:29,2.014s,PASSED
"click(findTestObject(""02-Side Icons(Organization)/Add Contact/button_Cancel""))",Chrome 113.0.0.0,,,2023-05-05 10:11:29,2023-05-05 10:11:30,0.482s,PASSED
delay(delay_2seconds),Chrome 113.0.0.0,,,2023-05-05 10:11:30,2023-05-05 10:11:32,2.015s,PASSED
,,,,,,,
Test Cases/02-Side Icons (Organization)/02-(2FA),Chrome 113.0.0.0,Navigates on 2FA Page and verifies the elements.,,2023-05-05 10:11:32,2023-05-05 10:11:44,12.600s,PASSED
