Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
07-Directory,Chrome 113.0.0.0,,,2023-05-05 12:58:39,2023-05-05 13:04:33,5m - 54.463s,PASSED
,,,,,,,
Test Cases/07-Directory/01 -Connections - Add New Contact (required field is blank),Chrome 113.0.0.0,,,2023-05-05 12:58:39,2023-05-05 13:00:47,2m - 7.726s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-05 12:58:40,2023-05-05 12:58:46,6.015s,PASSED
"navigateToUrl(""https://lab.everleagues.com/"")",Chrome 113.0.0.0,,,2023-05-05 12:58:46,2023-05-05 12:59:01,15.022s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-05 12:59:01,2023-05-05 12:59:01,0.200s,PASSED
"callTestCase(findTestCase(""01-Login and Forgot Password/04-Login(Valid Credentials-With Subscription)""), [:], STOP_ON_FAILURE)",Chrome 113.0.0.0,,,2023-05-05 12:59:01,2023-05-05 13:00:05,1m - 4.457s,PASSED
"click(findTestObject(""03-Header Menu/Hamburger Button/div_Directory""))",Chrome 113.0.0.0,,,2023-05-05 13:00:05,2023-05-05 13:00:12,6.209s,PASSED
delay(3),Chrome 113.0.0.0,,,2023-05-05 13:00:12,2023-05-05 13:00:15,3.006s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/div_Connections""))",Chrome 113.0.0.0,,,2023-05-05 13:00:15,2023-05-05 13:00:15,0.551s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/div_Labels""))",Chrome 113.0.0.0,,,2023-05-05 13:00:15,2023-05-05 13:00:16,1.398s,PASSED
delay(3),Chrome 113.0.0.0,,,2023-05-05 13:00:16,2023-05-05 13:00:20,3.017s,PASSED
"click(findTestObject(""07-Directory/Connections/div_Connections""))",Chrome 113.0.0.0,,,2023-05-05 13:00:20,2023-05-05 13:00:20,0.604s,PASSED
delay(3),Chrome 113.0.0.0,,,2023-05-05 13:00:20,2023-05-05 13:00:23,3.018s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/h4_CONNECTIONS""))",Chrome 113.0.0.0,,,2023-05-05 13:00:23,2023-05-05 13:00:24,0.525s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/h5_Save your contacts here and throw your business cards away""))",Chrome 113.0.0.0,,,2023-05-05 13:00:24,2023-05-05 13:00:24,0.448s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/button_search""))",Chrome 113.0.0.0,,,2023-05-05 13:00:24,2023-05-05 13:00:25,0.418s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/button_add new contact""))",Chrome 113.0.0.0,,,2023-05-05 13:00:25,2023-05-05 13:00:25,0.482s,PASSED
"verifyElementVisible(findTestObject(""07-Directory/Connections/button_Filter""))",Chrome 113.0.0.0,,,2023-05-05 13:00:25,2023-05-05 13:00:27,1.509s,PASSED
delay(3),Chrome 113.0.0.0,,,2023-05-05 13:00:27,2023-05-05 13:00:30,3.003s,PASSED
